Wall time,Step,Value
1552689930.0446415,30,0.8809245228767395
1552690239.8258138,35,0.8793440461158752
1552691479.0333507,55,0.8548940420150757
1552691787.64374,60,0.8490837216377258
1552692405.6090353,70,0.8417796492576599
1552692712.2268822,75,0.8375298976898193
1552693024.659285,80,0.8339147567749023
1552693641.5012763,90,0.8255788683891296
1552693950.9236329,95,0.8241357207298279
1552694258.9872909,100,0.8220414519309998
1552694570.913909,105,0.8159386515617371
1552695803.305503,125,0.8127865791320801
1552698574.2850103,170,0.7959569096565247
1552698881.8691704,175,0.7920131087303162
1552699498.5828736,185,0.79129558801651
1552700424.305526,200,0.7891106009483337
1552700733.8216095,205,0.7848889231681824
1552701352.973014,215,0.785547137260437
1552701972.8694124,225,0.7803256511688232
1552702281.2704518,230,0.7790679335594177
1552702897.7987833,240,0.7814922332763672
1552703512.4065058,250,0.7784575819969177
1552703818.3264723,255,0.77463299036026
1552704740.8776476,270,0.7726592421531677
1552705048.4886212,275,0.773258626461029
1552705355.6152196,280,0.7721818685531616
1552705663.7239094,285,0.771901547908783
1552705970.457022,290,0.7738947868347168
1552706893.9798386,305,0.7684731483459473
1552707201.660526,310,0.7686281800270081
1552707816.3829587,320,0.7676476836204529
1552708425.130768,330,0.764983594417572
1552708729.6001515,335,0.7653483748435974
1552709034.4711823,340,0.7653042674064636
1552709339.7257686,345,0.7638511657714844
1552710250.5002584,360,0.7629532814025879
1552710554.2868896,365,0.7593232989311218
1552710857.9139688,370,0.7608824372291565
1552711163.6682794,375,0.7573801875114441
1552711774.521041,385,0.7594355940818787
1552712684.7170694,400,0.757224977016449
1552714203.3761563,425,0.7542682886123657
1552714507.7673705,430,0.7539070248603821
1552714813.5091696,435,0.7528316974639893
1552715116.9616945,440,0.7534649968147278
1552715422.1104178,445,0.7592592835426331
1552715726.8805354,450,0.7536490559577942
1552717247.329111,475,0.7511118650436401
1552719708.8530097,515,0.7470718026161194
1552720626.225741,530,0.7492873072624207
1552720932.195755,535,0.7459880709648132
1552723065.5784473,570,0.7450443506240845
1552723978.948717,585,0.7457320690155029
1552724588.4191089,595,0.7414939403533936
1552724893.1469553,600,0.7429417371749878
1552725198.1411715,605,0.7430239319801331
1552726415.1945822,625,0.7409569025039673
1552726719.382176,630,0.7414063215255737
1552727022.5662398,635,0.7412893772125244
1552727935.816628,650,0.7413251399993896
1552728240.8410287,655,0.7410607933998108
1552729156.3259797,670,0.7412758469581604
1552730376.6781995,690,0.7401294112205505
1552730987.0174983,700,0.7410439848899841
1552731594.8650455,710,0.7388001680374146
1552731899.5169065,715,0.7409279942512512
1552732204.4484258,720,0.7383381128311157
1552732509.5513952,725,0.7377787232398987
1552733118.4281209,735,0.7365257143974304
1552733726.01878,745,0.7347713112831116
1552734334.6395462,755,0.735777735710144
1552735249.5664778,770,0.7356064319610596
1552735554.3402252,775,0.7348932027816772
1552735859.072481,780,0.7353917956352234
1552736468.6563742,790,0.7325578331947327
1552736773.2457886,795,0.7319257855415344
