Wall time,Step,Value
1552689930.044707,30,0.09187591075897217
1552690239.8258784,35,0.08786022663116455
1552691479.0334287,55,0.09817826747894287
1552691787.6438146,60,0.10339123010635376
1552692405.609097,70,0.10805845260620117
1552692712.2269435,75,0.11199826002120972
1552693024.659355,80,0.11453068256378174
1552693641.5013373,90,0.11774486303329468
1552693950.9237037,95,0.11746209859848022
1552694258.9873629,100,0.11962670087814331
1552694570.9139695,105,0.12174969911575317
1552695803.3056095,125,0.12292122840881348
1552698574.2850692,170,0.1335657238960266
1552698881.8692355,175,0.13527214527130127
1552699498.5829465,185,0.13671880960464478
1552700424.305592,200,0.1388857364654541
1552700733.8216712,205,0.13961249589920044
1552701352.9730756,215,0.13853991031646729
1552701972.869483,225,0.14290320873260498
1552702281.2705183,230,0.14488685131072998
1552702897.7988725,240,0.14141511917114258
1552703512.406569,250,0.14126986265182495
1552703818.3265321,255,0.146121084690094
1552704740.8777108,270,0.14646106958389282
1552705048.4886937,275,0.1472722887992859
1552705355.6152833,280,0.14795202016830444
1552705663.7239919,285,0.14755630493164062
1552705970.457097,290,0.14800047874450684
1552706893.979909,305,0.15020430088043213
1552707201.6605923,310,0.15182709693908691
1552707816.3830166,320,0.1506442427635193
1552708425.1308398,330,0.14989739656448364
1552708729.600213,335,0.15134882926940918
1552709034.4712427,340,0.1510137915611267
1552709339.7258396,345,0.15119308233261108
1552710250.5003326,360,0.15132540464401245
1552710554.2869678,365,0.15522009134292603
1552710857.9140503,370,0.15405452251434326
1552711163.6683705,375,0.1563287377357483
1552711774.5211127,385,0.15502208471298218
1552712684.7171388,400,0.15590649843215942
1552714203.3762186,425,0.15740108489990234
1552714507.767434,430,0.15792465209960938
1552714813.509239,435,0.15895843505859375
1552715116.9617782,440,0.15734386444091797
1552715422.110484,445,0.15766596794128418
1552715726.8805964,450,0.15733885765075684
1552717247.3291805,475,0.1594868302345276
1552719708.8530753,515,0.16117388010025024
1552720626.2258132,530,0.16105788946151733
1552720932.1958416,535,0.16267520189285278
1552723065.5785353,570,0.16335529088974
1552723978.9487815,585,0.16309380531311035
1552724588.4191685,595,0.16515719890594482
1552724893.1470153,600,0.1650475263595581
1552725198.1412401,605,0.1648208498954773
1552726415.1946425,625,0.16445833444595337
1552726719.3822365,630,0.16515588760375977
1552727022.5663092,635,0.16636061668395996
1552727935.8167071,650,0.16568201780319214
1552728240.8410962,655,0.1669168472290039
1552729156.3260386,670,0.16625195741653442
1552730376.678264,690,0.16630226373672485
1552730987.017567,700,0.16713863611221313
1552731594.8651063,710,0.16680824756622314
1552731899.51697,715,0.1663609743118286
1552732204.4484882,720,0.16631054878234863
1552732509.5514653,725,0.16584444046020508
1552733118.4281816,735,0.1675180196762085
1552733726.018848,745,0.16792577505111694
1552734334.6396086,755,0.16846132278442383
1552735249.566548,770,0.16976112127304077
1552735554.340305,775,0.16843867301940918
1552735859.072547,780,0.16853481531143188
1552736468.656445,790,0.1705523133277893
1552736773.2458553,795,0.17034423351287842
1552737076.2518322,800,0.1689518690109253
1552737990.033975,815,0.1696486473083496
1552738592.9574864,825,0.1693609356880188
1552738892.3927484,830,0.16987144947052002
1552739494.2236621,840,0.17034626007080078
1552739795.1615834,845,0.17116856575012207
1552740697.0878065,860,0.17009323835372925
1552742199.7765248,885,0.17139893770217896
1552742501.1704884,890,0.1710219383239746
1552742801.1328254,895,0.1702204942703247
1552743401.418596,905,0.17248225212097168
1552743700.9560452,910,0.17212951183319092
1552744300.2252245,920,0.17182189226150513
1552744899.118441,930,0.1727871298789978
1552745199.6885169,935,0.172413170337677
1552745499.5947087,940,0.17272937297821045
1552745801.1662111,945,0.17180705070495605
1552746399.2406642,955,0.17191314697265625
1552746699.9731536,960,0.17182761430740356
1552748804.9513361,995,0.17253583669662476
1552750006.8696935,1015,0.17390072345733643
1552751208.4998558,1035,0.172538161277771
1552751514.7491276,1040,0.17422229051589966
1552751818.4375477,1045,0.17500418424606323
1552753027.2638283,1065,0.17221993207931519
1552753329.1833282,1070,0.17285484075546265
1552753932.652743,1080,0.1747538447380066
1552754837.2219548,1095,0.17547935247421265
1552755138.5721915,1100,0.1728838086128235
1552756045.4898882,1115,0.17499327659606934
1552756346.3045201,1120,0.17531216144561768
1552756950.2897186,1130,0.176153302192688
1552757252.4784632,1135,0.17510616779327393
1552757554.482188,1140,0.17638975381851196
1552758158.1507628,1150,0.1739274263381958
1552758460.5576549,1155,0.1752772331237793
1552758761.8420396,1160,0.1750476360321045
1552759063.1109564,1165,0.17540967464447021
1552759365.0142505,1170,0.17433464527130127
1552759665.6479895,1175,0.1741611361503601
1552760569.2610998,1190,0.1761520504951477
1552761475.73294,1205,0.17555022239685059
1552762682.6398368,1225,0.17540472745895386
1552762984.309908,1230,0.17495375871658325
1552763587.173833,1240,0.17691296339035034
1552764190.270652,1250,0.1767374873161316
1552764492.1442208,1255,0.1751173734664917
1552766002.9683154,1280,0.17734789848327637
1552766910.1763442,1295,0.1773204803466797
1552767212.2703862,1300,0.17506563663482666
1552767514.196682,1305,0.17748534679412842
1552767815.8503237,1310,0.17567461729049683
1552768419.997188,1320,0.17858284711837769
1552769627.2994,1340,0.17756444215774536
1552770231.2598977,1350,0.17770951986312866
1552770835.1848786,1360,0.17823606729507446
1552771439.3539371,1370,0.1794000267982483
1552772951.543586,1395,0.17791777849197388
1552773556.0175407,1405,0.1783124804496765
1552774763.0445483,1425,0.17871928215026855
1552776272.5282705,1450,0.17919838428497314
1552776876.7127364,1460,0.17833220958709717
1552777179.4826295,1465,0.17922401428222656
1552778083.9876587,1480,0.17757540941238403
1552778689.1267614,1490,0.18023085594177246
1552778991.1880121,1495,0.1799461841583252
