Wall time,Step,Value
1551943601.1224592,0,8.3977632522583
1551945515.082349,1,3.7156825065612793
1551947434.6172934,2,3.410862445831299
1551949360.7360892,3,3.30473256111145
1551951284.7852507,4,3.2210400104522705
1551953209.8173835,5,3.155689239501953
1551955143.6803458,6,3.102874755859375
1551957065.432331,7,3.052330732345581
1551958986.8942537,8,3.0112979412078857
1551960910.1929317,9,2.951664686203003
1551962830.243752,10,2.918549060821533
1551964748.2288632,11,2.8819875717163086
1551966690.7979171,12,2.846100330352783
1551968635.3744898,13,2.808981418609619
1551970559.558998,14,2.7829079627990723
1551972483.5844772,15,2.7575833797454834
1551974404.5376344,16,2.7323343753814697
1551976327.1592867,17,2.7141058444976807
1551978251.206783,18,2.689275026321411
1551980175.5694282,19,2.6598877906799316
1551982101.099737,20,2.647137403488159
1551984031.6399488,21,2.6315481662750244
1551985959.173448,22,2.611480712890625
1551987892.208349,23,2.5934813022613525
1551989816.443624,24,2.5702784061431885
1551991740.6178958,25,2.560131311416626
1551993664.1870697,26,2.542268991470337
1551995585.7355049,27,2.5342466831207275
1551997513.651294,28,2.5130538940429688
1551999434.129791,29,2.501988172531128
1552001358.345008,30,2.4976675510406494
1552003286.2501724,31,2.481100559234619
1552005206.0832908,32,2.4709248542785645
1552007130.8528152,33,2.4584169387817383
1552009051.808201,34,2.4486923217773438
1552010982.9180322,35,2.4400124549865723
1552012926.8029482,36,2.4339773654937744
1552014873.9073486,37,2.424344778060913
1552016804.7149122,38,2.4127941131591797
1552018729.3332767,39,2.4064602851867676
1552020668.1643925,40,2.4041028022766113
1552022605.909802,41,2.403040885925293
1552024548.088485,42,2.401606559753418
1552026476.9817348,43,2.3940460681915283
1552028422.9672616,44,2.3871331214904785
1552030357.8865156,45,2.382363796234131
1552032295.4232187,46,2.3818423748016357
1552034236.3911788,47,2.3765244483947754
1552036182.0063174,48,2.3737268447875977
1552038120.0487595,49,2.3769171237945557
1552040059.893664,50,2.3661458492279053
1552041998.9617748,51,2.362002372741699
1552043936.9694111,52,2.3616116046905518
1552045863.8684561,53,2.363375663757324
1552047813.559381,54,2.364637613296509
1552049749.0063841,55,2.3568410873413086
1552051674.599183,56,2.356003761291504
1552053604.0923903,57,2.358607530593872
1552055550.6512756,58,2.3484444618225098
1552057478.0337434,59,2.3515431880950928
1552059405.8194845,60,2.3515400886535645
1552061345.7315395,61,2.341343402862549
1552063270.0693076,62,2.3432135581970215
1552065201.8222218,63,2.3411080837249756
1552067140.9870005,64,2.336901903152466
1552069078.7796392,65,2.3340539932250977
1552071010.4191816,66,2.3306045532226562
1552072937.2652416,67,2.3275554180145264
1552074869.5050623,68,2.3290562629699707
1552076799.1169956,69,2.3271324634552
1552078726.534297,70,2.328368663787842
1552080658.939789,71,2.3253214359283447
1552082599.7347267,72,2.3258535861968994
1552084548.0899792,73,2.3262133598327637
1552086479.0514638,74,2.3202788829803467
1552088408.1849573,75,2.3228044509887695
1552090333.1631784,76,2.318751573562622
1552092286.3083713,77,2.31636118888855
1552094224.4436276,78,2.3194215297698975
1552096169.1232972,79,2.3198983669281006
1552098114.7383604,80,2.3145694732666016
1552100057.5909626,81,2.312636137008667
