Wall time,Step,Value
1551943545.5650055,0,8.397994995117188
1551945247.9381785,1,3.6873326301574707
1551946951.0475469,2,3.4711930751800537
1551948655.4070508,3,3.349987506866455
1551950359.1065137,4,3.260638952255249
1551952063.6644776,5,3.2202136516571045
1551953769.6324644,6,3.1814889907836914
1551955478.2438216,7,3.1411778926849365
1551957185.323185,8,3.1084468364715576
1551958890.0897362,9,3.0724916458129883
1551960595.1510975,10,3.065263271331787
1551962301.7046812,11,3.0468125343322754
1551964014.0991254,12,3.0151851177215576
1551965720.8221436,13,2.987305164337158
1551967425.1034539,14,2.9634385108947754
1551969130.940524,15,2.9424197673797607
1551970839.2657135,16,2.9226491451263428
1551972546.7626483,17,2.902326822280884
1551974253.038896,18,2.8877227306365967
1551975962.2032309,19,2.868607997894287
1551977670.9009237,20,2.854330062866211
1551979379.4092543,21,2.8381481170654297
1551981088.3267121,22,2.828562021255493
1551982797.457294,23,2.8101515769958496
1551984505.604225,24,2.7960073947906494
1551986211.2087617,25,2.7864415645599365
1551987920.7917278,26,2.7694966793060303
1551989629.7378855,27,2.7524101734161377
1551991339.8523986,28,2.7421278953552246
1551993049.2137938,29,2.72926664352417
1551994757.8513858,30,2.7282283306121826
1551996465.249433,31,2.7215232849121094
1551998173.0644727,32,2.6990885734558105
1551999879.9459748,33,2.692476749420166
1552001589.4643967,34,2.6830179691314697
1552003297.827795,35,2.668241500854492
1552005006.5057747,36,2.658108949661255
1552006712.7462564,37,2.652430534362793
1552008424.2597604,38,2.646059513092041
1552010131.1062565,39,2.639742851257324
1552011840.7483835,40,2.631349563598633
1552013551.1231613,41,2.6267898082733154
1552015262.5692637,42,2.617666721343994
1552016971.038676,43,2.6187849044799805
1552018680.846101,44,2.611722946166992
1552020388.6978035,45,2.6062777042388916
1552022098.4694092,46,2.6128134727478027
1552023805.580788,47,2.5957353115081787
1552025513.420794,48,2.5928640365600586
1552027223.8552113,49,2.5914719104766846
1552028935.3571653,50,2.5915396213531494
1552030643.557268,51,2.5841360092163086
1552032354.6285813,52,2.5781936645507812
1552034062.5373533,53,2.573976516723633
1552035772.1295755,54,2.569929838180542
1552037480.5580482,55,2.570249557495117
1552039191.9366736,56,2.5713436603546143
1552040900.8472378,57,2.5671768188476562
1552042608.09726,58,2.563767671585083
1552044317.3362224,59,2.5583150386810303
1552046026.2743762,60,2.555860996246338
1552047736.128419,61,2.552415132522583
1552049444.6525667,62,2.551438570022583
1552051156.009847,63,2.5490362644195557
1552052866.8404446,64,2.546144962310791
1552054578.5153682,65,2.541912078857422
1552056287.7659323,66,2.5412731170654297
1552057996.1350722,67,2.538655996322632
1552059703.355284,68,2.537079334259033
1552061410.9134755,69,2.537789821624756
1552063122.2369208,70,2.5275802612304688
1552064830.6659305,71,2.525050401687622
1552066541.7821145,72,2.525681257247925
1552068254.979202,73,2.5210447311401367
1552069965.8707078,74,2.5233757495880127
1552071678.1915603,75,2.5210695266723633
1552073388.26761,76,2.5137417316436768
1552075098.682231,77,2.5161540508270264
1552076812.346842,78,2.515109062194824
1552078524.349989,79,2.5112719535827637
