Wall time,Step,Value
1551943769.0500634,0,0.05430877208709717
1551944244.8526237,5,0.002688169479370117
1551944716.002096,10,0.0027295351028442383
1551945184.248553,15,0.0032460689544677734
1551945662.1025214,20,0.003135085105895996
1551946134.8918986,25,0.0029970407485961914
1551946616.3777869,30,0.00311434268951416
1551947092.918026,35,0.0038307905197143555
1551947576.2343314,40,0.003744363784790039
1551948055.7225146,45,0.0034258365631103516
1551948536.1248727,50,0.003814697265625
1551949008.4109163,55,0.003990888595581055
1551949487.6227515,60,0.0038614273071289062
1551949964.8593552,65,0.003958225250244141
1551950439.8441415,70,0.00396418571472168
1551950919.245416,75,0.0037680864334106445
1551951397.0220695,80,0.004365444183349609
1551951872.148508,85,0.004614830017089844
1551952353.4853923,90,0.00433039665222168
1551952834.0282655,95,0.004164457321166992
1551953317.0911958,100,0.00446927547454834
1551953791.654942,105,0.0041043758392333984
1551954268.8957925,110,0.004559636116027832
1551954746.586691,115,0.004490017890930176
1551955216.8228204,120,0.004712820053100586
1551955699.1252832,125,0.004479169845581055
1551956179.422658,130,0.004792690277099609
1551956653.2183263,135,0.004957318305969238
1551957133.945574,140,0.004809141159057617
1551957622.7803302,145,0.004953622817993164
1551958103.8048124,150,0.004570960998535156
1551958587.628234,155,0.0046340227127075195
1551959070.1174088,160,0.0049021244049072266
1551959547.0274613,165,0.005180716514587402
1551960017.3532476,170,0.0051621198654174805
1551960487.4574652,175,0.005085110664367676
1551960957.0290644,180,0.005034446716308594
1551961437.9102108,185,0.005463957786560059
1551961914.0977561,190,0.005398273468017578
1551962387.069464,195,0.0052912235260009766
1551962861.5500536,200,0.005580306053161621
1551963336.0272956,205,0.005415916442871094
1551963811.8992472,210,0.0056171417236328125
1551964281.004662,215,0.005012154579162598
1551964758.9522567,220,0.005456447601318359
1551965235.8134937,225,0.005567312240600586
1551965708.422785,230,0.005489230155944824
1551966189.0323665,235,0.005644559860229492
1551966668.5799546,240,0.005952596664428711
1551967149.4297256,245,0.0059893131256103516
1551967632.2731645,250,0.006312727928161621
1551968110.9353578,255,0.006147146224975586
1551968586.0426865,260,0.00621795654296875
1551969057.366704,265,0.006400108337402344
1551969542.5073135,270,0.006282210350036621
1551970028.1005943,275,0.00691378116607666
1551970510.3708947,280,0.0068662166595458984
1551970987.5551324,285,0.00641024112701416
1551971457.3950727,290,0.006315708160400391
1551971931.7689147,295,0.006661415100097656
1551972407.8029985,300,0.006396889686584473
1551972889.9186876,305,0.006937742233276367
1551973363.8116798,310,0.006720185279846191
1551973841.4630136,315,0.006886482238769531
1551974325.3266752,320,0.006853938102722168
1551974804.5198095,325,0.00664520263671875
1551975286.1849992,330,0.007009029388427734
1551975768.636978,335,0.006806373596191406
1551976251.171078,340,0.006489276885986328
1551976729.1070294,345,0.007015705108642578
1551977210.309725,350,0.006983160972595215
1551977688.492797,355,0.007207393646240234
1551978167.8496997,360,0.0069741010665893555
1551978639.2224836,365,0.007059335708618164
1551979110.575734,370,0.00695037841796875
1551979581.2147856,375,0.006846904754638672
1551980060.0871015,380,0.007187962532043457
1551980535.6945887,385,0.007255077362060547
1551981020.0842164,390,0.007387757301330566
1551981495.1574268,395,0.007242321968078613
1551981975.5975256,400,0.007322430610656738
1551982458.2530367,405,0.007209181785583496
1551982936.6775362,410,0.007550358772277832
1551983409.6281586,415,0.007423758506774902
