Wall time,Step,Value
1552688961.8936412,10,0.006050825119018555
1552689872.2532518,20,0.006459057331085205
1552690780.796208,30,0.006830394268035889
1552691231.555541,35,0.0069825053215026855
1552692130.5575864,45,0.007233738899230957
1552693028.0455012,55,0.007375836372375488
1552693478.153036,60,0.00757831335067749
1552693925.7373505,65,0.008766889572143555
1552694377.6729627,70,0.007925748825073242
1552694825.539754,75,0.00874948501586914
1552695276.8800066,80,0.008768975734710693
1552695726.7293465,85,0.009948372840881348
1552696176.8014934,90,0.010332047939300537
1552696624.5696807,95,0.010444819927215576
1552697075.241005,100,0.012218713760375977
1552697522.984899,105,0.012004494667053223
1552697968.163591,110,0.01440054178237915
1552698411.4809759,115,0.015407681465148926
1552699304.3512585,125,0.018599987030029297
1552699748.625029,130,0.02021610736846924
1552700649.3493857,140,0.026176512241363525
1552702002.670438,155,0.03428405523300171
1552702454.1379669,160,0.03716087341308594
1552702905.5015488,165,0.03937476873397827
1552703350.7967339,170,0.04192471504211426
1552703797.0559728,175,0.044378459453582764
1552704690.5597723,185,0.04822593927383423
1552706030.9044168,200,0.053142547607421875
1552706478.3572826,205,0.05584162473678589
1552707373.8549428,215,0.059166133403778076
1552707817.8537414,220,0.060161471366882324
1552708260.7875545,225,0.0611652135848999
1552708697.7808645,230,0.06342422962188721
1552709137.1086726,235,0.06419271230697632
1552709574.460725,240,0.06511592864990234
1552710453.1942587,250,0.06677025556564331
1552710891.7105536,255,0.05784851312637329
1552712213.6725893,270,0.06867045164108276
1552712651.88406,275,0.06926727294921875
1552713092.3555124,280,0.06922149658203125
1552713531.300045,285,0.06386607885360718
1552713968.9782412,290,0.06836730241775513
1552715284.5096767,305,0.06878900527954102
1552715724.0273979,310,0.06780463457107544
1552716162.4295297,315,0.07030397653579712
1552716603.2606347,320,0.0687527060508728
1552717039.674548,325,0.06862610578536987
1552717480.3481536,330,0.06796306371688843
1552717931.298445,335,0.06902962923049927
1552718377.485067,340,0.06742316484451294
1552718822.5114539,345,0.06825417280197144
1552719269.581452,350,0.059452831745147705
1552720155.3973427,360,0.06691855192184448
1552720597.0100057,365,0.06313955783843994
1552721042.2760394,370,0.06676816940307617
1552721484.2715733,375,0.06393861770629883
1552722362.1613374,385,0.05697917938232422
1552722800.6128824,390,0.06281846761703491
1552723241.2816162,395,0.06255584955215454
1552723681.7113674,400,0.060571372509002686
1552724562.9655507,410,0.050592899322509766
1552725006.4213407,415,0.05733203887939453
1552725885.393765,425,0.05034434795379639
1552726325.263314,430,0.052694618701934814
1552726767.472355,435,0.04847216606140137
1552727207.0573444,440,0.042652428150177
1552727647.8771265,445,0.04844069480895996
1552728085.462035,450,0.04816192388534546
1552728965.5801928,460,0.044119954109191895
1552729407.693155,465,0.04431372880935669
1552729848.081687,470,0.04509449005126953
1552730288.5406475,475,0.0433160662651062
1552731169.9602795,485,0.043277621269226074
1552732488.7030559,500,0.03998398780822754
1552732928.830991,505,0.030821681022644043
1552733366.3107893,510,0.040010273456573486
1552733807.7322762,515,0.03851735591888428
1552734249.9640353,520,0.03651148080825806
1552734690.2129812,525,0.03622126579284668
1552735132.3720794,530,0.034401893615722656
1552735570.1702833,535,0.030927717685699463
1552736897.1962829,550,0.034433603286743164
1552737335.9274526,555,0.03348731994628906
1552738644.2594929,570,0.03078562021255493
1552739942.428115,585,0.02895987033843994
1552740376.1598742,590,0.026828467845916748
1552740805.84293,595,0.02868831157684326
1552741239.4351153,600,0.026054084300994873
1552741672.1309018,605,0.025382161140441895
1552742103.7768157,610,0.029354095458984375
1552742968.1808295,620,0.027981996536254883
1552743401.0827284,625,0.026246190071105957
1552743831.1801617,630,0.02656853199005127
1552744263.5818763,635,0.026460647583007812
1552744694.5918818,640,0.025984525680541992
1552745556.237903,650,0.02542513608932495
1552745987.7406776,655,0.02503877878189087
1552747287.221621,670,0.02439039945602417
1552748589.3813334,685,0.02605307102203369
1552749028.2105596,690,0.024962782859802246
1552749894.8321412,700,0.02192103862762451
1552750759.9767163,710,0.023724019527435303
1552751192.4632802,715,0.02429187297821045
1552751635.053652,720,0.023108065128326416
1552752069.7643332,725,0.022152602672576904
1552752506.6674101,730,0.022512972354888916
1552752942.3879726,735,0.020601987838745117
1552753811.5769827,745,0.019208669662475586
1552754245.3184257,750,0.011070728302001953
1552754681.577268,755,0.020199298858642578
1552755118.8957632,760,0.018029451370239258
1552755991.1659455,770,0.019577085971832275
1552756423.4644105,775,0.017013967037200928
1552756861.3030062,780,0.020015060901641846
1552757730.6915286,790,0.019741058349609375
1552758164.7427173,795,0.0203741192817688
